# Is used to indicate the line is a comment. 
# Fields that are required to add an item are indicated by an asterisk *.
# Additional fields required in order to put the item into the'Installed' state are indicated by a double asterisk **.
# The item's name must be unique within its Location.
# Values provided for make and model must match an entry from the dcTrack Make and Model lists.
# Values provided for location and cabinet must be an existing dcTrack Location and Cabinet.
# Depth Postion can be any unoccupied position on Front or Back auxilliary rails as viewed from cabinet rear.
# Cabinet Side can be any unoccupied position on Left or Right auxilliary rails as viewed from cabinet rear.
# U Position can be any unoccupied position on the designated rails that can accommodate the RU size of the item from this point and above.
# IP Address Port Name is used to assign the IP Address to  a specific item data port.  If omitted the IP Address will be assigned to the item's first data port.
# PX Username and PX Password are only used with Raritan Rack PDUs.
# SNMP Write Community String can be replaced by the appropriate set of SNMPv3 related columns if required.
# Status can be set to Planned (by default if blank or omitted) Installed or Storage.
# Operation *, Object *, Make*,Model*,Serial Number,Asset Tag,eAsset Tag,Name*,New Name,Alias,Type,Function,Contact,Contact Team,Customer,Status,Planned Decomm. Date,Planning Date,Location*,New Location,Location Reference,Cabinet**,U Position,Rails Used**,Orientation**,Project Number,PO Number,Purchase Price,Purchase Date,Installation Date,SLA Profile,Contract Number,Contract Amount,Contract Start Date,Contract End Date,Notes,Custom Field Request Note,Custom Field Room Sensor,IP Address,IP Address Port Name,Proxy Index,SNMP3 Enabled,SNMP3 User Name,SNMP3 Authorization Level,SNMP3 Authorization Protocol,SNMP3 Authorization PassKey,SNMP3 Privacy Protocol,SNMP3 Privacy PassKey,SNMP Write Community String,PX User Name,PX Password,Group,No. in Group,is Archived
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I6C00088","","","4A19R2","","PDU-LG5-A7-3L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A19","40","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH31","10.218.77.69","Eth01","1","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I6C00036","","","4A20B1","","PDU-LG5-B7-15L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A20","36","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH31","10.218.77.70","Eth01","4","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I6C00046","","","4A20B2","","PDU-LG5-B7-15L2","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A20","37","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH31","10.218.77.70","Eth01","3","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I6C00087","","","4A20R1","","PDU-LG5-A7-15L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A20","39","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH31","10.218.77.70","Eth01","2","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I6C00099","","","4A20R2","","PDU-LG5-A7-15L2","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A20","40","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH31","10.218.77.70","Eth01","1","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"LG5 Temp Humidity Sensor","LG5 Temp Humidity Sensor","","","","LG5 TH32","","","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A24","Above","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.212.12.23","Eth01","132","false","","","","","","","power1Qread","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"LG5 Temp Humidity Sensor","LG5 Temp Humidity Sensor","","","","LG5 TH34","","","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A29","Above","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.212.12.23","Eth01","134","false","","","","","","","power1Qread","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1206R-K2","18J6C00005","","","4A34B3","","PDU-LG5-B8-18L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A34","33","Back","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH25","10.218.77.84","Eth01","8","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1206R-K2","18J6C00007","","","4A34B4","","PDU-B8-19L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A34","34","Back","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH25","10.218.77.84","Eth01","7","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1206R-K1","18J6C00014","","","4A34R3","","PDU-LG5-A8-18L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A34","36","Back","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH25","10.218.77.84","Eth01","4","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1206R-K1","18J6C00015","","","4A34R4","","PDU-LG5-A8-19L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A34","37","Back","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH25","10.218.77.84","Eth01","3","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Emerson","uf-lts16-1p ATS","2.11E+19","MS010649","","MS010649","","","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A35","20","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.218.77.201","eth1","","false","","","","","","","private","","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Emerson","uf-lts16-1p ATS","2.10235E+19","MS010651","","MS010651","","","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A36","20","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.218.77.202","eth1","","false","","","","","","","private","","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Emerson","uf-lts16-1p ATS","21023521902167180016","MS010708","","MS010708","","","","","","","","Planned","","","CAVCTR > FLOOR LG5 > IMC4","","","4A37","20","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","","","","","","","","","","","","","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Emerson","uf-lts16-1p ATS","21023521902168D10086","MS010653","","MS010653","","4A43ATSU20","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A43","20","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.218.77.203","Eth1","","false","","","","","","","private","","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"LG5 Temp Humidity Sensor","LG5 Temp Humidity Sensor","","","","LG5 TH26","","","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A44","Above","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.212.12.23","Eth01","126","false","","","","","","","power1Qread","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Emerson","uf-lts16-1p ATS","21023521902168D1007A","MS010655","","MS010655","","4A44ATSU20","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A44","20","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.218.77.204","eth1","","false","","","","","","","private","","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"LG5 Temp Humidity Sensor","LG5 Temp Humidity Sensor","","","","LG5 TH22","","","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A45","Above","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.212.12.23","Eth01","122","false","","","","","","","power1Qread","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I6C00034","","","4A52B1","","PDU-LG5-B9-4L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A52","38","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH20","10.218.77.98","Eth01","4","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I6C00043","","","4A52B2","","PDU-LG5-B9-4L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A52","39","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH20","10.218.77.98","Eth01","3","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I6C00086","","","4A52R1","","PDU-LG5-A9-4L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A52","41","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH20","10.218.77.98","Eth01","2","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I6C00104","","","4A52R2","","PDU-LG5-A9-4L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A52","42","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH20","10.218.77.98","Eth01","1","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I6C00045","","","4A53B1","","PDU-LG5-B9-4L2","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A53","38","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH20","10.218.77.99","Eth01","4","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1206R-K2","18I6C00038","","","4A53B2","","PDU-LG5-B9-5L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A53","39","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH20","10.218.77.99","Eth01","3","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I6C00093","","","4A53R1","","PDU-LG5-A9-4L2","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A53","41","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH20","10.218.77.99","Eth01","2","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I6C00110","","","4A53R2","","PDU-LG5-A9-5L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A53","42","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH20","10.218.77.99","Eth01","1","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I6C00039","","","4A54B1","","PDU-LG5-B10-10L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A54","38","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH20","10.218.77.100","Eth01","4","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I6C00035","","","4A54B2","","PDU-LG5-B10-11L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A54","39","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH20","10.218.77.100","Eth01","3","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I6C00092","","","4A54R1","","PDU-LG5-A10-10L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A54","41","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH20","10.218.77.100","Eth01","2","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I6C00090","","","4A54R2","","PDU-LG5-A10-11L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A54","42","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH20","10.218.77.100","Eth01","1","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"LG5 Temp Humidity Sensor","LG5 Temp Humidity Sensor","","","","LG5 TH21","","","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A57","Above","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.212.12.23","Eth01","121","false","","","","","","","power1Qread","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"LG5 Temp Humidity Sensor","LG5 Temp Humidity Sensor","","","","LG5 TH23","","","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A57","Above","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.212.12.23","Eth01","123","false","","","","","","","power1Qread","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I7700006","","","4A60B1","","PDU-B11-6L2","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A60","39","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.106","Eth01","3","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I7700007","","","4A60B2","","PDU-B11-6L1","","","","","","Planned","","","CAVCTR > FLOOR LG5 > IMC4","","","4A60","38","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.106","eth1","4","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I7900007","","","4A60R1","","PDU-A11-6L2","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A60","42","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.106","Eth01","1","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I7700014","","","4A60R2","","PDU-A11-6L1","","","","","","Planned","","","CAVCTR > FLOOR LG5 > IMC4","","","4A60","41","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.106","eth1","2","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I7900064","","","4A61B1","","PDU-B11-6L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A61","39","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.107","Eth01","3","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I7700003","","","4A61B2","","PDU-B11-4L1","","","","","","Planned","","","CAVCTR > FLOOR LG5 > IMC4","","","4A61","38","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.107","eth1","4","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I7900043","","","4A61R1","","PDU-A11-6L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A61","42","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.107","Eth01","1","false","","","","","","","private","admin","","0","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I7900044","","","4A61R2","","PDU-A11-4L1","","","","","","Planned","","","CAVCTR > FLOOR LG5 > IMC4","","","4A61","41","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.107","eth1","2","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I7700005","","","4A62B1","","PDU-B11-7L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A62","39","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.108","Eth01","3","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I7900056","","","4A62B2","","PDU-B11-3L3","","","","","","Planned","","","CAVCTR > FLOOR LG5 > IMC4","","","4A62","38","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.108","eth1","4","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I7900026","","","4A62R1","","PDU-A11-7L1","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A62","42","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.108","Eth01","1","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I7900025","","","4A62R2","","PDU-A11-3L3","","","","","","Planned","","","CAVCTR > FLOOR LG5 > IMC4","","","4A62","41","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.108","eth1","2","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I7900074","","","4A63B1","","PDU-B11-7L2","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A63","39","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.109","Eth01","3","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I7900073","","","4A63B2","","PDU-B11-3L2","","","","","","Planned","","","CAVCTR > FLOOR LG5 > IMC4","","","4A63","38","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.109","eth1","4","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I7900011","","","4A63R1","","PDU-A11-7L2","","","","","","Planned","","","CAVCTR > FLOOR LG5 > IMC4","","","4A63","42","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.109","Eth01","1","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I7900012","","","4A63R2","","PDU-A11-3L2","","","","","","Planned","","","CAVCTR > FLOOR LG5 > IMC4","","","4A63","41","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.109","eth1","2","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"LG5 Temp Humidity Sensor","LG5 Temp Humidity Sensor","","","","LG5 TH14","","","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A63","Above","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","","10.212.12.23","Eth01","114","false","","","","","","","power1Qread","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I7900055","","","4A64B1","","PDU-B11-7L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A64","39","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.110","Eth01","3","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K2","18I7900053","","","4A64B2","","PDU-B11-12L2","","","","","","Planned","","","CAVCTR > FLOOR LG5 > IMC4","","","4A64","38","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.110","eth1","4","false","","","","","","","private","admin","","","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I7700016","","","4A64R1","","PDU-A11-7L3","","","","","","Installed","","","CAVCTR > FLOOR LG5 > IMC4","","","4A64","42","Both","Item Front Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.110","Eth01","1","false","","","","","","","private","admin","","0","0","FALSE"
EDIT,RACK PDU-RACKABLE,"Raritan","PX3-1292R-K1","18I7700012","","","4A64R2","","PDU-A11-12L2","","","","","","Planned","","","CAVCTR > FLOOR LG5 > IMC4","","","4A64","41","Both","Item Rear Faces Cabinet Front","","","0.0","","","","","0.0","","","","","LG5 TH14","10.218.77.110","eth1","2","false","","","","","","","private","admin","","","0","FALSE"
